远程办公, teleworking/telecommuting/work at home/work from home
上网购物, shop online
上网课, attend online courses/lessons
去公司, travel to work
上班路程远, travel a long distance to work
省时间, save time
面对面的交流, face-to-face communication
开会, attend a meeting
避开交通高峰时段, avoid rush-hour traffic
在网上看视频, watch videos online
正式的场合, in a formal setting
社交媒体网站, social networking website
视频聊天软件, video chat program
失去工作, lose jobs
失业率, the jobless/unemployment rate
创造就业机会, create job opportunities
谋生/维持生计, make a living
赚钱, earn money
生活得好/过上好日子, a high standard of living
老龄化, population ageing
失业, out of work
减少失业问题, reduce unemployment
提供就业机会, create jobs
赚取薪水, earn salaries
养家, feed a family
经济危机, economic crisis/recession
外国产品, foreign products
很积极的员工, active employees
提高积极性, motivate them
过舒服的生活, have a comfortable life
加薪, pay rise
一个好的激励因素, a good motivator
进步感, a sense of progress
养家糊口, raise a family
归属感, a sense of belonging
一个好的工作环境, (?)a good condition in the workspace
获得工作满意度, gain/meet working satisfaction
让员工更加忠诚, inspire loyalty
工作环境, working conditions
灵活的工作模式, (?)flexible patterns of working
稳定的职业, steady career/job security
劳动力市场, the labour market
激烈的竞争, fierce/stiff/tough competitive
找到工作, find jobs
稳定的收入, a steady source of income/a steady income
支付生活费, cover living expenses
获得一个学位, obtain a degree
丰富技能, sharpen skills/add to the skill set
工作条件, working conditions
工作关系, working relationships
