经济的重要组成部分, an important part of the economy
收入来源, a source of income
创造就业机会, create jobs/create employment
创造就业机会, create job opportunities
收取门票, charge admission fees
减少交通阻塞, reduce traffic congestion
高峰期的交通, rush-hour traffic
步行就可以到, within walking distance
驾驶执照, driving license
拥有汽车, car ownership
交通阻塞税, traffic congestion tax
创意产业, creative industry
处理交通阻塞, cope with / handle traffic jams/congestion
骑自行车去上班, cycle to work
驾照考试, driving test
限制私人汽车的使用, curb private car use/restrict private car usage
汽油税, fuel/petrol tax
扩宽道路, broaden roads
修路, maintain roads
使用公共交通, use public transport
拼车, car pooling
开车, drive cars
坐飞机, travel by air
私家车的使用, the usage of private cars
出行的方式, (?) communication methods
上下班, travel/get to and from work
走很长的路程, on a long distance
去中心办公区, go to the center office
提升标准, raise standards
步行街, pedestranise streets
减少汽车尾气, reduce car fumes
开车旅行, travel by car
坐地铁, travel by tube
旅行方式, travel method
使用公共交通工具, use public transport
上班族, daily commuters
郊区的上班族, suburban commuters
种树, plant trees
林荫大道, tree-lined avenues
自然景观, a view of nature
提供阴凉, provide the shade
吸尘, absorb dust
植物, plants
砍树, cut down trees
(街道)两边种满了树, (?)
亲近自然, be close to the nature
提供休憩处, provide a shelter
常青树, evergreen trees
花园, flower gardens
提供就业机会, provide job opportunities
