排长队, be on a long waiting list
促进我们的健康, improve/boost our health
发明新药物, develop/invest new drugs/medicines
医疗设备, medical equipment
接受医疗, recieve medical treatments
高医疗费用, high healthcare fees/costs/expenses
医疗调查, medical research
在医药行业, in the pharmacy industry
治愈疾病, cure diseases
以前不可治疗的疾病, previously incurable diseases
垃圾管理, waste management
传播疾病, spread diseases
传染病, infectious diseases
生活健康, a healthy life
提升大众健康, promote/boost public health
传统的教室, traditional classrooms
提供指导, provide instruction
建立信心, build confidence/self-esteem
培养强烈的兴趣, cultivate keen interests
延长寿命, prolong/extand life expectancy
独立学习, study independently
在一对一的基础上, on a one-on-one basis
保持对学习的热情, keep well-motivated on study
保持学生的兴趣, keep students motivated
保持热情, keep enthusiastic
对于学业的负面态度, a negative attitude to study
缺乏自制力, lack self-control/self-discipline
分心, get destract
艺术博物馆, art museums
展览文物, exhibit artefacts
连接历史, connect to the past
丰富文化生活, enrich cultural life
对公众开放, open to the public
免费进入, free entry/admission
战争博物馆, war museums
举办一个展览, hold an exhibition
文化遗产, cultural heritage
门票, entrance fees
免费入场, free admission
民族歌曲, folk songs
摇滚音乐, rock music
热门歌曲, hit songs
音乐爱好者, music lover
综合各种音乐风格, integrate several muscial styles
流行歌曲, pop songs
古典音乐, classical music
流行歌手, pop starts
乐器, musical instruments
文化差异, cultural differences
文化和文化之间的差异, deffer from culture to culture
