很适合一份工作,be well-suited to a job
做兼职工作,do part-time jobs
大学毕业,graduate from university
毕业,graduate
实践经验,practical experience
实践经验,hands-on experiences
从事一份工作,pursue a career in (Engineering)
提高实践能力,sharpen/develop practical skills
适应职场,adapt to the workplace
高中毕业,finish high school
高中毕业后的间隔年,take a gap year
教育系统,the education system
高等教育,higher education
接受培训,receive/undergo training
责任感,a sense of responsibility
学校系统,the school system
接受大学教育,receive university-level education
道德准则,moral principles
向………………灌输美德,instill (virtues) into sb
对社会有贡献的人,productive memebers of society
塑造个人品质,build/develop qualities
培养素质,develop character
必胜的决心,show determination to win
在恶劣的环境下,in poor conditions/in difficult situations/in a hostile environment
坚韧不拔,show perseverance
贫穷的学生,less well-off/underprevilege/disadvantaged students
免除学费,exempted from tuition fees
教育的公平,educational equality
无利息贷款,interest-free/zero-interest loans
摆脱贫穷,break the cycle of poverty
减少贫富差距,close/narror the gap between rich and poor
设立奖学金,set/establish scholarships
免费教育,free education
来自贫穷家庭的孩子,children from underprevileged families
辍学,leave school/drop out of school
在大学学习,study at university
财政支持,financial support
减少贫富差距,narrow the wealth divide
公立学校,state-funded schools
学生贷款,student loans
免费获取知识,free access to knowledge
宽带服务,broadband internet service
打破贫穷的恶性循环,break the cycle of poverty
能支付学费,afford the tuition fees
减少贫穷,reduce poverty
贫困的人,less well-off people
慈善组织,charitable organizations
残疾人,people with disabilities
买得起基本生活必需品,afford basic necessities
维持基本的生活水平,maintain basic standard of living
不必要的死亡,unnecessary deaths/die needlessly
生病,suffer from illness/diseases/poor health
接受职业培训,undergo/receive vocational training
提高工作能力,sharpen working skills
减少贫富差距,narrow the gap between the poor and the wealthy
种族歧视,racial discrimination
遵守规则,obey rules
破坏规则,violate rules
基本的规则,basic/ground rules
破坏校规,violate/break school rules
遵守文化规范,comply with cultural norms
形成好的习惯,develop good habits
遵守规则,follow rules
建立规则,establish rules
遵守黄金规则,follow golden rules
不遵守社会规范,violate social norms
讲礼貌,show good manners
公司的规定,company regulations
伸出援手,give a helping hand
同情,show compassion
做事自私,show selfishness/behave selfish
有颗金子般美好的心,with a heart of golden
响应情感需求,be responsive to emotional needs
受自身利益驱使,driven by self-interest
出于贪婪,be motivated by greed
在考试中作弊,cheat in exams
获取不公平的优势,gain/obtain unfair advantages
不劳而获,make easy money
灌输道德观,instil moral values
需求很高,with a greedy appetite
传统的价值,traditional values
消费品,consumer goods
家庭用具,household appliances
网络商店,online stores/shops
在舒适的家里,in the comfort of their homes
购物中心,shopping centers/malls/complexes
冲动买…………………,buy/shop/purchase on impulse
消费社会,consumer society
用信用卡付账,pay by credit card
需求很高,high demand
电子设备,electric/electrical/electronic devices
网络购物,online shopping
网络零售商,e-tailers/online retailers
在购物街,on high streets
购物街,shopping streets
大降价,steep discounts
消费文化,consumer/consumerism culture
教育游戏,educational games
设定规则,set/establish rules
良好的倾听技巧,good listening skills
交流能力,communication skills
领导能力,leadership competencies/skills
生活技能,life skills
年轻球员,young players/athletes
户外运动,outdoor sports
表达观点,express ideas/show opinions
改善软技能,improve soft skills
人际技能,social/interpersonal skills
运动技能,sporting skills
基本技能,basic/fundamental skills
保持身材,keep fit/keep a good body shape
社会活动,social activities
交新的朋友,make new friends
外出就餐,eat out
话题,talking points/topics
看足球比赛,watch soccer games
过健康的生活,lead a healthy life/have a healthy lifestyle
聚一起,gather together
外出聚餐,go out for a meal
喝咖啡,have/grab a coffee
体育迷,sports fans
直播赛事,live events
参加社会活动,take part in social activities
和他人来往,socialise/interact with others
文化活动,cultural activities
社会生活,social life
和邻居来往,interact with neighbors
释放压力,release/cut stress
忘记工作,forget about work
参加合唱团,join a choil
参观艺术馆,visit art galleries
减少压力,reduce stress
手边的工作,work at hand
缓解紧张情绪,alleviate stress/reduce stress
非常有趣的经历,a pleasurable experience
参加乐队,join a band
遵守社会规范,follow social norms
有礼貌,show good manners
准时完成工作,finish work punctually/on time
礼貌地处理咨询,handle enquiries politely
好的职业道德,good professional ethic
责任感,a sense of responsibility
遵守社会规则,abide by social rules
尊重他人,respect others/show respect to others
准时到,be on time/arrive punctually
上班迟到,be late for work
建立好的工作关系,establish good working relationships
