很适合一份工作,be well-suited to a job
做兼职工作,do part-time jobs
大学毕业,graduate from university
毕业,finish high school
实践经验,practical experience
实践经验,hands-on experience
从事一份工作,embark on a job
提高实践能力,improve practical skills
适应职场,adapt to the workplace
高中毕业,finish high school
高中毕业后的间隔年,take a gap year
教育系统,the education system
高等教育,higher education
接受培训,receive training
责任感,a sense of responsibility
学校系统,the school system
接受大学教育,receive university-level education
道德准则,moral principles
向………………灌输美德,instill virtues into sb
对社会有贡献的人,productive members of society
塑造个人品质,build character
培养素质,develop competencies
必胜的决心,the determination to win
在恶劣的环境下,in poor conditions/in a hostile environment
坚韧不拔,show their perserverance
贫穷的学生,students from less well-off families
免除学费,exempted from tuition fees
教育的公平,equal access to education
无利息贷款,zero-interest/interest-free loans
摆脱贫穷,break the cycle of poverty/eradicate poverty/get rid of poverty
减少贫富差距,narrow the economic divide/gap
设立奖学金,set scholarship
免费教育,free education
来自贫穷家庭的孩子,children from deprived/disprevileged families
辍学,drop out of school
在大学学习,study at university
财政支持,financial support
减少贫富差距,narrow the gap between the rich and the poor
公立学校,state-funded schools
学生贷款,student loans
免费获取知识,free access to knowledge
宽带服务,broadband internet service
打破贫穷的恶性循环,break the cycle of poverty
能支付学费,afford tuition fees
减少贫穷,reduce poverty
贫困的人,deprived people
慈善组织,charitable organization
残疾人,people with disabilities
买得起基本生活必需品,afford basic necessities
维持基本的生活水平,maintain basic standard of living
不必要的死亡,die needlessly/needless death
生病,contract diseases
接受职业培训,receive/undergo vocational training
提高工作能力,develop job skills
减少贫富差距,close the gap between the rich and the poor
种族歧视,racial discrimination
遵守规则,obey rules
破坏规则,break rules
基本的规则,basic/fundamental rules
破坏校规,break school rules
遵守文化规范,adhere to cultural norms
形成好的习惯,develop good habits/manners
遵守规则,comply with rules
建立规则,set rules
遵守黄金规则,obey golden rules
不遵守社会规范,violate social norms
讲礼貌,show good manners
公司的规定,company rules
伸出援手,give a helping hand
同情,show compassion
做事自私,live selfishly
有颗金子般美好的心,have the heart of golden
响应情感需求,response emotional needs
受自身利益驱使,driven by self-interest
出于贪婪,(?)by greedy motivation
在考试中作弊,cheat in exams
获取不公平的优势,gain an unfair advantage over
不劳而获,make fast money
灌输道德观,instill/impart moral values into sb
需求很高,high demand
传统的价值,traditional values
消费品,consumer products
家庭用具,household appliances
网络商店,online shop/store
在舒适的家里,in the comfort of their home
购物中心,shopping center
冲动买…………………,buy/purchase on impuse
消费社会,consumer society
用信用卡付账,pay by credit card
需求很高,in a high demand for
电子设备,digital devices
网络购物,online shopping
网络零售商,e-tailers
在购物街,on high streets
购物街,shopping streets
大降价,a steep sale
消费文化,consumer culture
教育游戏,educational games
设定规则,set rules
良好的倾听技巧,good listening skills
交流能力,communication skills
领导能力,leadership competencies
生活技能,life skills
年轻球员,young players/athletes
户外运动,outdoor sports
表达观点,express opinions/ideas
改善软技能,improve soft skills
人际技能,interpersonal/social skills
运动技能,sports skills
基本技能,basic skills
保持身材,keep fit
社会活动,social activities
交新的朋友,make new friends
外出就餐,eat out/go out for a meal
话题,talking points/topics
看足球比赛,watch soccer games
过健康的生活,lead a healthy life
聚一起,gather together/bring sb together
外出聚餐,go out for a meal
喝咖啡,have a coffee
体育迷,sports fans
直播赛事,live events
参加社会活动,take part in social activities
和他人来往,socialize/interact with others
文化活动,cultural activities
社会生活,social life
和邻居来往,interact with neighbors
释放压力,release stress
忘记工作,forget about work
参加合唱团,join a choir
参观艺术馆,visit art galleries
减少压力,reduce stress
手边的工作,work by hand
缓解紧张情绪,release/reduce/alleviate stress
非常有趣的经历,a very interesting experience
参加乐队,join a band
遵守社会规范,obey social norms
有礼貌,show good manners
准时完成工作,finish work on time/punctually
礼貌地处理咨询,handle enquiries politely
好的职业道德,good professional ethics
责任感,a sense of responsibility
遵守社会规则,obey social norms
尊重他人,respect others/show respect to others
准时到,be on time/arrave to work punctually
上班迟到,be late on work
建立好的工作关系,establish/build good working relationships
太空任务,space missions
太空科学,space science
太空探索,space exploration
先进的知识,advanced knowledge
适合居住的星球,habitatable planets
为………………提供避难所,provide shelter for
商业化地使用,be used commercially
在恶劣的环境里,in a hostile environment
太空旅行,travel in outer space
人口增长,population growth/expansion/explosion
保护我们的文明,protect our civilization
保护衣,protective clothes
在地面上,on the ground
马上有回报,immediate rewards
做运动,do sports
强度适中的运动,moderate physical exercise
去慢跑,go for a jog
去游泳,go for a swim
促进血液循环,boost blood circulation(?)
保持好的身材,keep fit
不运动的生活,lead an inactive/sedentary life
极限运动,extreme sports
温和的身体锻炼,moderate physical exercise
温和的锻炼(不刺激的运动),mold exercise
去快跑,go for a sprint
燃烧卡路里,burn calories
增强体力,improve physical strength
促进身体健康,improve physical health
受伤,suffer from injuries
专业的教练,professional coaches
经济压力,financial pressure
协调好工作和家庭之间的关系,combine work with family commitments/achieve a work-life balance
工作投入,work devotedly
找到时间,find time
减少压力,reduce stress
压力的来源,the source of stress
感到轻松,feel relaxed
物质的东西,material things
时间管理,time management
财政困难,financial difficulties
时间很紧,on a tight schedule
对………………施加更大的压力,pose pressure on 
应付压力,cope with stress/pressure
感到压力,feel stressed
生活费用,living expenses
避免拖延,avoid/prevent procrastination
到国外,go abroad/go overseas
出国学习,study abroad
在全球化的世界中,in the globalised world
来自不同背景,from different backgrounds
学习一门外语,learn/pick up a foreign language
精通另一门语言,master another language 
母语流利,be fluent in the mother tongue/the first language
