将他们自己浸泡在一门外语里, immerse them in another language
语言能力,language skills
著名大学,prestigious universities
跨国企业,multinational enterprises
开阔视野,broaden their minds/horizons
人生的视野更加开阔,widen their views of life
感受世界,experience the world
专注于一个学科,focus/concentrate on a subject/specialise in one subject
职业前景,career prospect
工作机会,job opportunities
聪明的学生,smart/clever/gifted/talented/delight/bright student
在………………方面天生的才能,have a natural talent in
做计算,do culculations
学习一门学科,learn a subject
待遇优厚的工作,a well-paid job
发展特长,develop their talents
学习上有天赋,be academically gifted/talented
数学才能,mathematical talent
建立专业知识,establish expertise(?)
把………………放在有利位置, put sth in a advantaged position
一个乏味的工作,a tedious/repetitive job
教课,teach courses
教课,teach subjects
教育系统,the education system
学习全面的知识,receive a well-rounded education
上学,start school
主科,core subjects
上大学,attend/enter university
激励孩子们,inspire childrens/engage students (in discussion)
上学,be sent to school
学习效果,learning outcomes
学校课程/课程大纲,course curriculm
上大学,study at university
生动又新颖的,lively and stimulaing
课堂活动,classroom activities
课程内容,curriculum content
一起工作,work closely together
一个团队一起工作,work as a team
团队作业,group assignments
为慈善机构筹款,raise money/funds for charity groups
节省时间,save time/conserve time
完成项目,finish the project
发现(别人的)贡献,uncover contribution
和………………密切合作,work collaboratively
团队项目,team project
团队运动,team sports
团队合作,work as a team
分担任务,share the workload
开始一个团队项目,embark on a team project
团队一起做决定,make decisions as a team
科技的进步,technological progress
政府资助的科学研究,state-funded scientific research
科学机构,scientific institutions
技术的创新,technological innovation
先进科技,advanced technology
最新技术,state-of-the-art technology
技术突破,technological breakthroughs
保护环境,protect the environment
医学进步,medical progress
技术的改变,technological change
新技术,new technology
高新技术,cutting-edge technology
高新技术产业,the hi-tech industry
减少疾病,reduce diseases
减少饥荒,reduce hanger
太空技术,space technology
电信技术,telecommunications technology
移动设备,mobile/portable devices
即时消息,instant messaging
在手机上,on the phone
传真机,fax machine
接入互联网服务,connect to the Internet service
保持终身的关系,keep a lifelong relationship
和………………保持联系,keep in touch with sb
使用移动电话,by mobile phone
短信,text messaging
通过电子邮件,by email
在电脑上,on the computer
在线服务,online services
乘飞机旅行,travel by air
形成牢固的关系,forge/build/establish a tight/close relationship
在家远程办公,work from home
在家工作(工作地点是自己的家),work at home
"使用现代办公设备(如传真机和电脑)的办公室,也可以说“无纸办公室”",paperless office
上下班,travel to and from work
保持积极性,keep motivated
参加工作,enter the workforce
灵活的工作时间,flexible working hours
牺牲家庭生活,sacrifice family life
自律,show discipline/be self-discpline
表现主动性,show motivation
兼顾工作和家庭,achieve a work-life balance
工作的责任,working commitments
产生收入,generate income
旅游胜地,tourist attractions
旅游业,the tourism industry
吸引游客,attract tourists
旅游目的地,tourist destinations
去观光,go sightseeing
一个经济增长的驱动力,a driver of the economic growth
经济的重要组成部分,an important part of the economy
收入来源,the source of income
创造就业机会,create job opportunities
创造就业机会,create employment
收取门票,charge admission fees
减少交通阻塞,reduce traffic jams
高峰期的交通,rush-hour traffic
步行就可以到,within a walking distance
驾驶执照,driving license
拥有汽车,own cars
交通阻塞税,congestion taxes
创意产业,creative industries
处理交通阻塞,handle/tackle traffic jams/congestion
骑自行车去上班,cycle to work
驾照考试,driving test
限制私人汽车的使用,curb private car use
汽油税,fuel taxes
扩宽道路,expand the roads
修路,repair the roads
使用公共交通,use public transport system
拼车,car pooling
开车,drive cars
坐飞机,travel by air
私家车的使用,private car use
出行的方式,ways to go around(?)
上下班,get to and from work
走很长的路程,travel a long distance
去中心办公区,travel to central office
提升标准,raise standards
步行街,pedastrian streets
减少汽车尾气,reduce car emissions
开车旅行,travel by car
坐地铁,travel by tube
旅行方式,means of traveling
使用公共交通工具,use public transport system
上班族,daily commuters
郊区的上班族,suburban commuters
种树,plant trees
林荫大道,(?)avenue
自然景观,a view of nature
提供阴凉,provide shade
吸尘,absorb dust
植物,plant life
砍树,cut down trees
(街道)两边种满了树,tree-lined streets
亲近自然,be close to nature
提供休憩处,provide shelter
常青树,evergreen trees
花园,flower garden
提供就业机会,provide job opportunities
完成学业,complete degree courses
投入时间和金钱,an investment of time and money
上专业课,take core courses
填补(劳动力市场上的)知识空白,fill the gap in the labour market
从事一份工作,pursue a career in
学术课程,academical courses
偏爱的学习领域,prefered areas of study
对………………有热情,show passion in
发掘天赋,find talent in
财政情况,financial situations/circulstances
职业课程,vocational training
领域知识,domain knowledge
符合兴趣,match their interests
有兴趣去学习,study with enthusiasm
事业上的成功,career success
就业机会,job opportunities
搬去城市,relocate to cities
满足需求,meet the demand for sth
买得起房子,afford housing
影响生活质量,affect the quality of living
不断增长的人口,growing population
人口扩张,population expansion
增加压力,put pressure on
公共交通服务,public transport services
交通费用,transport expenses/costs
人口流动大,population is mobile
和民生有关的服务,essential services
消费者商品,consumer goods
消费者产品,consumer products
污染环境,contaminate / pollute the environment
工业浪费,industrial waste
扔垃圾,throw litter
焚烧垃圾,incinerate waste
进入食物链,enter the food chain
家庭用品,household appliances
填埋在垃圾场,end up in landfill sites
家庭垃圾,household waste
家庭垃圾,family waste(?)
扔垃圾,dump waste
处理垃圾,handle waste
有害的垃圾,hazardous waste
淡水,fresh water
自来水,tap water
一个对公众健康的威胁,a threat to public health
水污染,water pollution
污染水,pollute/contaminate water
污染严重,heavily polluted
一个干净水源,a clean source of water
瓶装水,bottled water
水土流失,soil errosion
