chinese, phrase
增加患心脏病和高血压的风险, increase the risk of heart disease and high blood pressure
在生活中承受着很大的压力，“压力山大”, suffer from huge stress
受到压力和焦虑的困扰, suffer from stress and anxiety
减轻压力和焦虑, reduce the stress and anxiety
有压力的生活方式, stressful lifestyles
健康的生活方式, healthy lifestyles
形成环保的生活方式, form a environmental lifestyle
形成缺少运动的生活方式, form a sedentary lifestyle
形成经常运动的生活方式, develop a active lifestyle
提高身体的免疫机能, develop the immune system
保持均衡的饮食结构, have a balanced diet
(快餐)含有过多的脂肪和糖, contain too much fat and sugar
严重依赖于……, rely heavily on
严重依赖于快餐, rely heavily on fast food
严重依赖于汽车, rely heavily on vihicle
严重依赖于科技, rely heavily on technology
(政府、媒体、学校)推广健康的生活方式, promote healthy lifestyles
鼓励人们去选择健康的食品, encourage people to choose healthy food
改善医疗服务, improve the healthcare system
医学研究(名词短语), medical research
缺乏归属感, lack a sense of belonging
感到孤独而且很不开心, fell lonely and unhappy
感到孤独而且很孤立, fell lonely and isolated
崇尚消费的文化, consumer culture
增加对于产品的需求, increase demand for products
经常过度消费, often overspend
购买他们并不真正需要的物品, buy goods which they do not really need
欠下债务, owe debts/have debts
集中精力在金钱和财产上面, focus on money and possessions
过于物质化的，过于追求物质享受的, too materialistic
有良好的消费习惯, have good spending habits
冲动地购物, shop on impulse
（企业）减少开支, reduce costs
（网络商店）提供更低的价格, provide lower prices
价格更合理, a more reasonable price
（政府、大学、发达国家等）为……提供资助, provide financial support for sth
（学校、博物馆等）资金不足, under-funded
（政府）还有其它更加急需关注的问题, have other important concerns
改善人民的生活水平, raise the standard of living
纳税, pay taxes
政府税收（名词短语）, government tax revenue
对经济做出贡献，例如广告、历史建筑、旅游业, contribute to the economy
促进经济的增长, contribute to economic growth
跨国公司, multinational companies/corporations
加重……的负担, increase the burden on sth
加重纳税人的负担, increase the burden on tax-payers
加重医疗体系的负担, increase the burden on the healthcare system
（国家之间，经济之间）是相互联系的, are interconnected
国际贸易, international trade
文化交流, cultural exchange
