category,topic_id,date,topic_name,question_type,question
【5月新题】Part1（17道）,1,5.28,Teachers,Part1,Do you have a favorite teacher?
【5月新题】Part1（17道）,1,5.28,Teachers,Part1,Do you want to be a teacher in the future?
【5月新题】Part1（17道）,1,5.28,Teachers,Part1,Do you have a teacher from your past that you still remember?
【5月新题】Part1（17道）,1,5.28,Teachers,Part1,Are you still in touch with your primary school teachers?
【5月新题】Part1（17道）,1,5.28,Teachers,Part1,In what way has your favourite teacher helped you?
【5月新题】Part1（17道）,1,5.28,Teachers,Part1,Do you like your primary school teachers more than your high school teachers?
【5月新题】Part1（17道）,2,4.30,Social media,Part1,Have you ever posted anything on social media?
【5月新题】Part1（17道）,2,4.30,Social media,Part1,When did you start using social media?
【5月新题】Part1（17道）,2,4.30,Social media,Part1,Do you think you spend too much time on social media?
【5月新题】Part1（17道）,2,4.30,Social media,Part1,Do your friends use social media?
【5月新题】Part1（17道）,2,4.30,Social media,Part1,What do people often do on social media?
【5月新题】Part1（17道）,3,5.19,Music,Part1,Do you like music?
【5月新题】Part1（17道）,3,5.19,Music,Part1,What kinds of music do you listen to?
【5月新题】Part1（17道）,3,5.19,Music,Part1,Do you prefer sad or happy music?
【5月新题】Part1（17道）,3,5.19,Music,Part1,Does happy music make you feel more excited?
【5月新题】Part1（17道）,3,5.19,Music,Part1,Have you taken any music classes?
【5月新题】Part1（17道）,3,5.19,Music,Part1,Do you listen to music while doing other things?
【5月新题】Part1（17道）,4,5.28,Tidiness,Part1,Do you like to keep things tidy?
【5月新题】Part1（17道）,4,5.28,Tidiness,Part1,Did you use to keep your room tidy as a child?
【5月新题】Part1（17道）,4,5.28,Tidiness,Part1,Are you a tidy person now?
【5月新题】Part1（17道）,4,5.28,Tidiness,Part1,How do you keep your work or study space tidy?
【5月新题】Part1（17道）,4,5.28,Tidiness,Part1,Do you think that it is necessary to be tidy?
【5月新题】Part1（17道）,4,5.28,Tidiness,Part1,What do you think of those who don't care about tidiness?
【5月新题】Part1（17道）,4,5.28,Tidiness,Part1,What do you think of those who are overly concerned about tidiness?
【5月新题】Part1（17道）,5,5.13,Websites,Part1,What kinds of websites do you often visit?
【5月新题】Part1（17道）,5,5.13,Websites,Part1,What is your favourite website?
【5月新题】Part1（17道）,5,5.13,Websites,Part1,Are there any changes to the websites you often visit?
【5月新题】Part1（17道）,5,5.13,Websites,Part1,What kinds of websites are popular in your country?
【5月新题】Part1（17道）,5,5.13,Websites,Part1,Do you prefer getting information from websites or books?
【5月新题】Part1（17道）,5,5.13,Websites,Part1,Would you like to have your own website?
【5月新题】Part1（17道）,6,5.6,Watch,Part1,Do you wear a watch?
【5月新题】Part1（17道）,6,5.6,Watch,Part1,Have you ever got a watch as a gift?
【5月新题】Part1（17道）,6,5.6,Watch,Part1,Why do some people wear expensive watches?
【5月新题】Part1（17道）,6,5.6,Watch,Part1,Do you think it is important to wear a watch? Why?
【5月新题】Part1（17道）,7,5.6,Shopping,Part1,Do you like shopping?
【5月新题】Part1（17道）,7,5.6,Shopping,Part1,How often do you go shopping?
【5月新题】Part1（17道）,7,5.6,Shopping,Part1,Do you prefer online shopping or in-store shopping?
【5月新题】Part1（17道）,7,5.6,Shopping,Part1,Do you compare prices when you shop? Why?
【5月新题】Part1（17道）,7,5.6,Shopping,Part1,Is it difficult for you to make choices when you shop?
【5月新题】Part1（17道）,7,5.6,Shopping,Part1,Do you think expensive products are always better than cheaper ones?
【5月新题】Part1（17道）,7,5.6,Shopping,Part1,Have you ever returned anything you bought online?
【5月新题】Part1（17道）,8,5.6,Feeling bored,Part1,Do you often feel bored?
【5月新题】Part1（17道）,8,5.6,Feeling bored,Part1,Did you ever find school boring when you were a child?
【5月新题】Part1（17道）,8,5.6,Feeling bored,Part1,What sort of things do you find most boring now?
【5月新题】Part1（17道）,8,5.6,Feeling bored,Part1,What do you do to stop yourself feeling bored?
【5月新题】Part1（17道）,8,5.6,Feeling bored,Part1,When would you feel bored?
【5月新题】Part1（17道）,8,5.6,Feeling bored,Part1,What do you do when you feel bored?
【5月新题】Part1（17道）,8,5.6,Feeling bored,Part1,Do you think childhood is boring or adulthood is boring?
【5月新题】Part1（17道）,9,5.28,Parks,Part1,Did you like going to parks as a child?
【5月新题】Part1（17道）,9,5.28,Parks,Part1,Do you still like going to parks now?
【5月新题】Part1（17道）,9,5.28,Parks,Part1,Would you like to see more parks in your city?
【5月新题】Part1（17道）,9,5.28,Parks,Part1,Are there any parks you want to go to in the future?
【5月新题】Part1（17道）,9,5.28,Parks,Part1,Would you prefer to play in a personal garden or public garden?
【5月新题】Part1（17道）,9,5.28,Parks,Part1,How are the parks today different from those you visited as a kid?
【5月新题】Part1（17道）,9,5.28,Parks,Part1,What do you like to do when visiting a park?
【5月新题】Part1（17道）,9,5.28,Parks,Part1,Would you like to play in a public garden or park?
【5月新题】Part1（17道）,10,5.6,Cars,Part1,Did you enjoy traveling by car when you were a kid?
【5月新题】Part1（17道）,10,5.6,Cars,Part1,What types of cars do you like?
【5月新题】Part1（17道）,10,5.6,Cars,Part1,Do you prefer to be a driver or a passenger?
【5月新题】Part1（17道）,10,5.6,Cars,Part1,What do you usually do when there is a traffic jam?
【5月新题】Part1（17道）,10,5.6,Cars,Part1,Do you think car colours are important?
【5月新题】Part1（17道）,11,5.6,Outer space and stars,Part1,Have you ever learnt about outer space and stars?
【5月新题】Part1（17道）,11,5.6,Outer space and stars,Part1,Do you enjoy watching science-fiction films/movies set in space?
【5月新题】Part1（17道）,11,5.6,Outer space and stars,Part1,Do you want to know more about outer space?
【5月新题】Part1（17道）,11,5.6,Outer space and stars,Part1,Would you like to go into outer space in the future?
【5月新题】Part1（17道）,12,5.6,Science,Part1,Do you like science?
【5月新题】Part1（17道）,12,5.6,Science,Part1,When did you start to learn about science?
【5月新题】Part1（17道）,12,5.6,Science,Part1,Which science subject is interesting to you?
【5月新题】Part1（17道）,12,5.6,Science,Part1,What kinds of interesting things have you done with science?
【5月新题】Part1（17道）,12,5.6,Science,Part1,Do you like watching science TV programs?
【5月新题】Part1（17道）,12,5.6,Science,Part1,Do Chinese people often visit science museums?
【5月新题】Part1（17道）,13,5.5,Mirrors,Part1,Do you like looking at yourself in the mirror? How often?
【5月新题】Part1（17道）,13,5.5,Mirrors,Part1,Have you ever bought mirrors?
【5月新题】Part1（17道）,13,5.5,Mirrors,Part1,Do you usually take a mirror with you?
【5月新题】Part1（17道）,13,5.5,Mirrors,Part1,Would you use mirrors to decorate your room?
【5月新题】Part1（17道）,14,5.13,Telling Jokes,Part1,Are you good at telling jokes?
【5月新题】Part1（17道）,14,5.13,Telling Jokes,Part1,Do your friends like to tell jokes?
【5月新题】Part1（17道）,14,5.13,Telling Jokes,Part1,Do you like to watch comedies?
【5月新题】Part1（17道）,14,5.13,Telling Jokes,Part1,Have you ever watched a live show?
【5月新题】Part1（17道）,14,5.13,Telling Jokes,Part1,Are comedy shows popular in your country?
【5月新题】Part1（17道）,15,5.7,Headphone,Part1,Do you use headphones?
【5月新题】Part1（17道）,15,5.7,Headphone,Part1,How often do you wear headphones?
【5月新题】Part1（17道）,15,5.7,Headphone,Part1,Do you think headphones are useful?
【5月新题】Part1（17道）,15,5.7,Headphone,Part1,Are headphones popular in your country?
【5月新题】Part1（17道）,15,5.7,Headphone,Part1,In what situations should people not wear headphones?
【5月新题】Part1（17道）,16,5.7,Singing,Part1,Did you like singing when you were a child?
【5月新题】Part1（17道）,16,5.7,Singing,Part1,Do you like singing now?
【5月新题】Part1（17道）,16,5.7,Singing,Part1,Do you enjoy singing in the car?
【5月新题】Part1（17道）,16,5.7,Singing,Part1,Do you like listening to other people sing?
【5月新题】Part1（17道）,16,5.7,Singing,Part1,Did you learn to sing when you were at school?
【5月新题】Part1（17道）,17,5.13,Clothing,Part1,What kind of clothes do you like to wear?
【5月新题】Part1（17道）,17,5.13,Clothing,Part1,Do you prefer to wear comfortable and casual clothes or formal clothes?
【5月新题】Part1（17道）,17,5.13,Clothing,Part1,Do you like wearing T-shirts?
【5月新题】Part1（17道）,17,5.13,Clothing,Part1,Do you spend a lot of time choosing clothes?
【5月新题】Part1（17道）,17,5.13,Clothing,Part1,Do you wear clothes of different styles on weekdays and weekends?
【5月新题】Part1（17道）,17,5.13,Clothing,Part1,What colour clothing do you like?
【5月新题】Part 2&Part 3（30道）,1,5.15,喜欢或不喜欢的高建筑,Part2,Describe a tall building you like or dislike
【5月新题】Part 2&Part 3（30道）,1,5.15,喜欢或不喜欢的高建筑,Part3,Are there many tall buildings in your country?
【5月新题】Part 2&Part 3（30道）,1,5.15,喜欢或不喜欢的高建筑,Part3,What are the differences between those tall buildings in your country?
【5月新题】Part 2&Part 3（30道）,1,5.15,喜欢或不喜欢的高建筑,Part3,Why are different places laid out and designed differently?
【5月新题】Part 2&Part 3（30道）,1,5.15,喜欢或不喜欢的高建筑,Part3,What are the advantages of living in tall buildings?
【5月新题】Part 2&Part 3（30道）,1,5.15,喜欢或不喜欢的高建筑,Part3,Why do some people like to remodel and decorate their homes themselves?
【5月新题】Part 2&Part 3（30道）,1,5.15,喜欢或不喜欢的高建筑,Part3,What kind of interior design style do most people like?
【5月新题】Part 2&Part 3（30道）,2,5.28,有趣视频,Part2,Describe an interesting video
【5月新题】Part 2&Part 3（30道）,2,5.28,有趣视频,Part3,What kind of videos do people in your country like to watch?
【5月新题】Part 2&Part 3（30道）,2,5.28,有趣视频,Part3,"Which is more helpful, watching videos or reading books?"
【5月新题】Part 2&Part 3（30道）,2,5.28,有趣视频,Part3,What skills can people learn from watching videos?
【5月新题】Part 2&Part 3（30道）,2,5.28,有趣视频,Part3,What are the advantages of online learning?
【5月新题】Part 2&Part 3（30道）,2,5.28,有趣视频,Part3,Are there any differences between the videos that young people and old people like to watch?
【5月新题】Part 2&Part 3（30道）,2,5.28,有趣视频,Part3,Are there any differences between the videos that young men and young women like to watch?
【5月新题】Part 2&Part 3（30道）,2,5.28,有趣视频,Part3,What makes a video go viral online?
【5月新题】Part 2&Part 3（30道）,3,5.28,早起经历,Part2,Describe a time when you got up early
【5月新题】Part 2&Part 3（30道）,3,5.28,早起经历,Part3,Do you know anyone who likes to get up early?
【5月新题】Part 2&Part 3（30道）,3,5.28,早起经历,Part3,Why do people get up early?
【5月新题】Part 2&Part 3（30道）,3,5.28,早起经历,Part3,What kinds of occasions need people to arrive early?
【5月新题】Part 2&Part 3（30道）,3,5.28,早起经历,Part3,Why do some people like to stay up late?
【5月新题】Part 2&Part 3（30道）,3,5.28,早起经历,Part3,Is it good to arrive early in any situation?
【5月新题】Part 2&Part 3（30道）,3,5.28,早起经历,Part3,What kind of people like getting up early?
【5月新题】Part 2&Part 3（30道）,3,5.28,早起经历,Part3,Is the early morning the best part of the day?
【5月新题】Part 2&Part 3（30道）,3,5.28,早起经历,Part3,Why do some people think it’s important to be on time and others don’t?
【5月新题】Part 2&Part 3（30道）,4,5.14,无聊的地方,Part2,Describe a boring place
【5月新题】Part 2&Part 3（30道）,4,5.14,无聊的地方,Part3,Why do most children think education is boring?
【5月新题】Part 2&Part 3（30道）,4,5.14,无聊的地方,Part3,Why aren't young people willing to listen to the experiences of older people?
【5月新题】Part 2&Part 3（30道）,4,5.14,无聊的地方,Part3,What can people do when they feel bored?
【5月新题】Part 2&Part 3（30道）,4,5.14,无聊的地方,Part3,Why are some teachers' classes boring? Are there any solutions?
【5月新题】Part 2&Part 3（30道）,4,5.14,无聊的地方,Part3,Why do some young people feel bored when talking with old people?
【5月新题】Part 2&Part 3（30道）,4,5.14,无聊的地方,Part3,Do most people think news about celebrities is boring?
【5月新题】Part 2&Part 3（30道）,5,5.6,发小,Part2,Describe a friend from your childhood
【5月新题】Part 2&Part 3（30道）,5,5.6,发小,Part3,Do you still keep in touch with your friends from childhood? Why or why not?
【5月新题】Part 2&Part 3（30道）,5,5.6,发小,Part3,How important is a childhood friendship to children?
【5月新题】Part 2&Part 3（30道）,5,5.6,发小,Part3,What do you think of communicating with others through social media?
【5月新题】Part 2&Part 3（30道）,5,5.6,发小,Part3,Do you think online communication through social media will replace face-to-face communication?
【5月新题】Part 2&Part 3（30道）,5,5.6,发小,Part3,What's the difference between talking to friends and family?
【5月新题】Part 2&Part 3（30道）,5,5.6,发小,Part3,Has technology changed people's friendships? How?
【5月新题】Part 2&Part 3（30道）,6,5.6,去过的最喜欢的城市,Part2,Describe your favorite city that you have visited
【5月新题】Part 2&Part 3（30道）,6,5.6,去过的最喜欢的城市,Part3,"Which is more suitable for young people, urban life or rural life, and which is more suitable for old people?"
【5月新题】Part 2&Part 3（30道）,6,5.6,去过的最喜欢的城市,Part3,How do people choose a city to travel to?
【5月新题】Part 2&Part 3（30道）,6,5.6,去过的最喜欢的城市,Part3,Do you think a tourist city is also a good place to live? Why?
【5月新题】Part 2&Part 3（30道）,6,5.6,去过的最喜欢的城市,Part3,Do most people prefer to travel in a modern city or a historical city?
【5月新题】Part 2&Part 3（30道）,6,5.6,去过的最喜欢的城市,Part3,待补充
【5月新题】Part 2&Part 3（30道）,7,5.11,喜欢在家/花园种菜的人,Part2,"Describe a person who loves to grow plants (e.g. vegetables, flowers) at home or in the garden"
【5月新题】Part 2&Part 3（30道）,7,5.11,喜欢在家/花园种菜的人,Part3,What are the advantages of growing vegetables or flowers at home?
【5月新题】Part 2&Part 3（30道）,7,5.11,喜欢在家/花园种菜的人,Part3,Do many people grow vegetables or flowers at home in your country?
【5月新题】Part 2&Part 3（30道）,7,5.11,喜欢在家/花园种菜的人,Part3,Is it easy to grow plants at home?
【5月新题】Part 2&Part 3（30道）,7,5.11,喜欢在家/花园种菜的人,Part3,Why do some people like to grow plants?
【5月新题】Part 2&Part 3（30道）,7,5.11,喜欢在家/花园种菜的人,Part3,Why do some people prefer to grow their own fruits and vegetables instead of buying them from the market?
【5月新题】Part 2&Part 3（30道）,7,5.11,喜欢在家/花园种菜的人,Part3,Do you think students should learn to grow plants?
【5月新题】Part 2&Part 3（30道）,8,5.6,想颁布的新法律,Part2,Describe a new law you would like to introduce in your country
【5月新题】Part 2&Part 3（30道）,8,5.6,想颁布的新法律,Part3,What rules should students follow at school?
【5月新题】Part 2&Part 3（30道）,8,5.6,想颁布的新法律,Part3,Do people in your country usually obey the law?
【5月新题】Part 2&Part 3（30道）,8,5.6,想颁布的新法律,Part3,What kinds of behavior are considered as good behavior?
【5月新题】Part 2&Part 3（30道）,8,5.6,想颁布的新法律,Part3,Do you think children can learn about the law outside of school?
【5月新题】Part 2&Part 3（30道）,8,5.6,想颁布的新法律,Part3,What are the benefits for people to obey rules?
【5月新题】Part 2&Part 3（30道）,8,5.6,想颁布的新法律,Part3,How can parents teach children to obey rules?
【5月新题】Part 2&Part 3（30道）,9,5.27,想从事医疗行业的人,Part2,"Describe a person you know who would like to choose a career in the medical field (e.g. a doctor, a nurse)"
【5月新题】Part 2&Part 3（30道）,9,5.27,想从事医疗行业的人,Part3,Do you think being a doctor is easy or difficult?
