技能类短语,develop their skills,发展他们的技能,,null,null,,
技能类短语,develop,发展,"英语写作里最常与 their skills 搭配的3个动词是：develop, improve 和 boost",null,null,,
技能类短语,improve,提高,"英语写作里最常与 their skills 搭配的3个动词是：develop, improve 和 boost",null,null,,
技能类短语,boost,提升,"英语写作里最常与 their skills 搭配的3个动词是：develop, improve 和 boost",null,null,,
技能类短语,independent thinking skills,独立思考的技能,,null,null,,
技能类短语,problem-solving skills,解决问题的技能,,null,null,,
技能类短语,social skills,社会交往的技能,,null,null,,
技能类短语,teamwork skills,团队合作技能,,null,null,,
技能类短语,reading and writing skills,读写技能,,null,null,,
技能类短语,communication skills,沟通技能,,null,null,,
技能类短语,computer skills,计算机技能,,null,null,,
技能类短语,foreign language skills,外语技能,,null,null,,
技能类短语,develop good learning habits,形成良好的学习习惯,,null,null,,
技能类短语,learn more efficiently,更高效地学习,,develop good learning habits,扩展短语,,
技能类短语,deepen their understanding of ...,深化他们对……的理解,deepen 是 deep 的动词形式,null,null,,
技能类短语,gain knowledge about ...,获取关于……的知识,,deepen their understanding of ...,同义替换,,
技能类短语,learn knowledge,学习知识,"native speakers 不说 learn knowledge ×,因为按英文习惯 learn 和 knowledge 两个词不能搭配到一起",null,错误搭配,,
技能类短语,boost their brain development,促进（儿童的）大脑发育,"例如阅读,玩益智游戏（educational games）",null,null,,
技能类短语,improve their problem-solving skills,提高他们解决问题的能力,"是 native speakers 的作文里关于技能常用的短语之一,它不但可以指提高解决学习问题的能力,也可以指解决实际生活问题的能力",boost their brain development,扩展短语,,
技能类短语,Playing chess can boost children's brain development.,下棋可以促进儿童的大脑发育,【BBC例句】,boost their brain development,例句,,
技能类短语,Video games can improve players' problem-solving skills.,电子游戏可以提高玩家的问题解决能力,【剑桥例句】,boost their brain development,例句,,
技能类短语,encourage their imagination,激发他们的想象力,,null,null,,
技能类短语,think creatively,有创意地思考,当 encourage 后面是心理活动时它是“激发”的意思,encourage their imagination,搭配动词,,
技能类短语,expand their horizons,开阔他们的眼界,"（旅行、学外语）开阔他们的眼界,这个短语里的 horizons（眼界）必须用复数",null,null,,
技能类短语,broaden their horizons,拓宽他们的眼界,"本来也是一条地道短语,可惜被中国同学们长期 overuse（过度使用）",expand their horizons,同义替换,,
技能类短语,improve their social skills,提高他们的社会交往能力,,null,null,,
技能类短语,develop their teamwork skills,发展他们的团队合作能力,,improve their social skills,扩展短语,,
技能类短语,work closely together,一起紧密地合作,（学生、员工、团队成员、国家等）一起紧密地合作,null,null,,
技能类短语,improve their teamwork skills,提高他们的团队合作技能,,work closely together,扩展短语,,
技能类短语,increase their independence,增强他们的独立性,,null,null,,
技能类短语,make shopping more efficient,让购物变得更高效,,null,null,,
技能类短语,make communication more efficient,让沟通变得更高效,,null,null,,
技能类短语,make the best use of their time,更充分地利用他们的时间,,null,null,,
技能类短语,is a waste of their time,是浪费他们的时间,对比：,make the best use of their time,反义表达,,
技能类短语,boost efficiency,提高效率,,null,null,,
技能类短语,boost productivity,提高生产率,"efficiency 可以泛指做任何事的效率,而 productivity 则是特指生产率",boost efficiency,具体化,,
技能类短语,boost their performance,提升他们的（学习或者工作的）表现,【经济学人例句】A work-life balance (工作和生活之间的平衡) can boost employees' performance.,null,null,,
技能类短语,A work-life balance can boost employees' performance.,工作与生活的平衡可以提升员工的表现,【经济学人例句】,boost their performance,例句,,
技能类短语,make life more convenient and comfortable,让生活变得更方便舒适,,null,null,,
技能类短语,technological innovations,科技创新(名词短语),,make life more convenient and comfortable,扩展短语,,
技能类短语,artificial intelligence,人工智能(名词短语),,make life more convenient and comfortable,扩展短语,,
技能类短语,self-driving cars,无人驾驶汽车(名词短语),,make life more convenient and comfortable,扩展短语,,
技能类短语,help them prepare for employment,帮助他们为就业做准备,,gain practical experience,同义替换,,
技能类短语,gain practical experience,获取实践经验,,null,null,,
技能类短语,Law schools often send their students to gain practical experience by giving free advice to people in need.,法学院经常派学生通过向有需要的人提供免费建议来获得实践经验,【经济学人例句】,gain practical experience,例句,,
技能类短语,have more job opportunities,有更多的就业机会,,null,null,,
技能类短语,achieve their potential,充分发挥出他们的潜力,注意：potential 不能用复数,null,null,,
技能类短语,achieve their goals,实现他们的目标,,achieve their potential,同义替换,,
技能类短语,save time and energy,节省时间和精力,,null,null,,
技能类短语,make learning more efficient,让学习变得更高效,,save time and energy,扩展短语,,
效率类短语,find information quickly and easily,快速、轻松地找到信息,,null,null,,
效率类短语,provide a variety of information,提供多种多样的信息,,find information quickly and easily,扩展短语,,
效率类短语,have a competitive edge,(求职者、企业、国家等)有竞争优势,,null,null,,
效率类短语,native speakers not write have a competition edge,母语者不说 have a competition edge,native speakers 不写 have a competition edge ×,have a competitive edge,错误搭配,,
效率类短语,face tough competition for jobs,面对激烈的求职竞争,,have a competitive edge,扩展短语,,
权利类短语,have more freedom,有更多的自由,,null,null,,
权利类短语,respect their choices,尊重他们的选择,,have more freedom,扩展短语,,
权利类短语,should be a personal choice,应该纯属个人的选择,,null,null,,
权利类短语,a free and fair society,一个自由、公正的社会,,should be a personal choice,扩展短语,,
权利类短语,provide people with more choices,为人们提供更多的选择,,null,null,,
权利类短语,provide people with more food choices,为人们提供更多的食品选择,,provide people with more choices,具体分类,,
权利类短语,provide people with more shopping choices,为人们提供更多的购物选择,,provide people with more choices,具体分类,,
权利类短语,can achieve a work-life balance,可以实现工作和生活之间的平衡,,null,null,,
权利类短语,often work overtime,经常加班,,can achieve a work-life balance,对比表达,,
权利类短语,cannot achieve a work-life balance,无法实现工作和生活之间的平衡,,can achieve a work-life balance,对比表达,,
权利类短语,have job security,（员工）拥有工作的稳定性,"job security 是指“工作的稳定性”,不能误解成“工作安全”",null,null,,
权利类短语,have a steady source of income,有稳定的收入来源,有稳定的收入来源,have job security,扩展短语,,
权利类短语,are treated fairly,（学生们或者员工们）受到公平的对待,,null,null,,
权利类短语,are treated unfairly,（某类人）受到不公平的对待,,are treated fairly,对比表达,,
权利类短语,have equal opportunities,拥有平等的机会,,null,null,,
权利类短语,feel respected and valued,感觉受到了尊重和重视,,have equal opportunities,扩展短语,,
权利类短语,boost gender equality,促进性别平等,促进男女平等,,null,null,
权利类短语,traditional gender roles,在传统观念里男女各自应有的社会角色（名词短语）,,boost gender equality,对比表达,,
权利类短语,give them a sense of achievement,给他们一种成就感,,null,null,,
权利类短语,have a sense of belonging,有归属感,,give them a sense of achievement,扩展短语,,
责任类短语,build family bonds,增进亲情,"build family bonds 在 native speakers 讨论家庭话题时极为常用,这个短语里的 bonds 不是指“007”,而是指“情感联系”",null,null,,
责任类短语,Reading together as a family is a good way to build family bonds while having fun and gaining knowledge together.,【BBC例句】一起阅读是增进家庭亲情的好方法,同时还能获得乐趣和知识。,【BBC 例句】Reading together as a family is a good way to build family bonds while having fun and gaining knowledge (获取知识) together.,build family bonds,例句,
责任类短语,communicate with them,和他们沟通,,build family bonds,扩展短语,,
责任类短语,good role models,好的榜样（名词短语）,,null,null,,
责任类短语,teach them the difference between right and wrong,教孩子明辨是非,,good role models,扩展短语,,
责任类短语,have busy careers,有忙碌的事业,,null,null,,
责任类短语,cannot achieve a work-family balance,无法实现工作和家庭之间的平衡,,have busy careers,对比表达,,
责任类短语,spoil their children,溺爱他们的孩子,,have busy careers,对比表达,,
责任类短语,develop a sense of responsibility,形成责任感,,null,null,,
责任类短语,contribute to their community,为他们的社区做贡献,,null,null,,
责任类短语,become useful members of society,成为有用的社会成员,,null,null,,
责任类短语,develop their social skills,发展他们的社会交往技能,,become useful members of society,扩展短语,,
责任类短语,have more life experience,有更丰富的人生经验,,null,null,,
责任类短语,share their life experience with young people,和年轻人分享他们的人生经验,,have more life experience,扩展短语,,
责任类短语,help them avoid mistakes,帮助他们避免错误,,have more life experience,扩展短语,,
责任类短语,provide a broad curriculum,提供科目广泛的课程安排,,null,null,,
责任类短语,core subjects,核心科目,,provide a broad curriculum,具体分类,,
责任类短语,optional subjects,选修科目,,provide a broad curriculum,具体分类,,
责任类短语,prepare for the knowledge-based economy,为适应知识经济做准备,,null,null,,
责任类短语,develop their problem-solving skills,发展他们解决问题的技能,,prepare for the knowledge-based economy,扩展短语,,
责任类短语,guide their students,(教师)指导他们的学生,,null,null,,
责任类短语,guide their children,(家长)指导他们的孩子,,guide their students,同义替换,,
责任类短语,do voluntary work,做志愿者工作,做义工,,null,null,
责任类短语,build trust and respect,建立理解和尊重,,do voluntary work,扩展短语,,
责任类短语,improve public services,(政府)改进公共服务,例如教育、医疗、公共交通,,null,null,
责任类短语,healthcare services,医疗服务,,improve public services,具体分类,,
责任类短语,public transport services,公共交通服务,,improve public services,具体分类,,
责任类短语,make the country more competitive,让国家变得更有竞争力,,null,null,,
责任类短语,have limited funds to spend,只有有限的可用资金,对比：,make the country more competitive,对比,,
责任类短语,create jobs,创造就业,,null,null,,
责任类短语,contribute to the local economy,为当地的经济做贡献,,create jobs,扩展短语,,
责任类短语,take away jobs from ...,抢走……的就业机会,对比：,create jobs,对比,,
责任类短语,reduce poverty,减少贫困现象,,null,null,,
责任类短语,poverity is poor 的名词形式：贫困,说明：,reduce poverty,说明,,,
责任类短语,low-income families,低收入家庭（名词短语）,说明：,reduce poverty,具体分类,,
责任类短语,reduce inequality,减少不平等现象,,null,null,,
责任类短语,introduce laws to ...,通过立法来……（减少污染,保护野生动物等）,"这个 introduce 不是介绍,而是“引入”的意思",null,null,
责任类短语,fine companies that ...,对……的公司处以罚款,【经济学人例句】The government will introduce laws to fine companies that pollute the environment.,introduce laws to ...,搭配动词,,
责任类短语,raise public awareness of ...,提高公众的……意识,,null,null,,
责任类短语,raise public awareness of health issues,提高公众对健康问题的意识,,raise public awareness of ...,具体分类,,
责任类短语,raise public awareness of environmental issues,提高公众对环境问题的意识,,raise public awareness of ...,具体分类,,
责任类短语,run campaigns to ...,开展大规模的宣传活动来……,"这个 run 不是跑步,而是“举办”的意思",raise public awareness of ...,搭配动词,,
责任类短语,provide reliable information,(广告、报纸等)提供可靠的信息,,null,null,,
责任类短语,provide misleading information,(广告、报纸等)提供有误导性的信息,反义：,provide reliable information,反义,,
责任类短语,relaible,“可靠的”,,null,null,,
